	Room	Start	End
0	4	1402913962.964	1402913965.117
1	4	1402913965.117	1402913972.418
2	1	1402913972.808	1402914014.749
3	2	1402914014.749	1402914033.684
4	3	1402914034.247	1402914056.019
5	4	1402914056.655	1402914066.347
6	1	1402914066.974	1402914117.877
7	2	1402914118.407	1402914124.289
8	3	1402914124.776	1402914153.242
9	2	1402914153.665	1402914156.555
10	1	1402914156.986	1402914172.372
11	4	1402914173.027	1402914175.056
12	4	1402914175.919	1402914212.77
13	1	1402914213.161	1402914268.755
14	2	1402914269.315	1402914280.452
15	3	1402914281.009	1402914315.674
16	2	1402914316.698	1402914328.403
17	1	1402914329.559	1402914342.315
18	4	1402914344.414	1402914367.543
19	1	1402914367.972	1402914370.186
20	2	1402914371.007	1402914374.872
21	1	1402914375.394	1402914392.952
22	2	1402914393.69	1402914412.334
23	3	1402914413.824	1402914419.228
24	4	1402914419.699	1402914425.928
25	4	1402914425.928	1402914450.097
26	3	1402914450.691	1402914454.45
27	1	1402914457.4	1402914467.793
28	4	1402914469.366	1402914509.969
29	1	1402914511.489	1402914534.659
30	2	1402914535.671	1402914541.262
31	1	1402914541.832	1402914610.608
32	4	1402914611.107	1402914614.589
33	1	1402914614.589	1402914617.781
34	2	1402914618.308	1402914627.573
35	1	1402914628.133	1402914630.451
36	4	1402914632.638	1402914634.954
37	1	1402914635.451	1402914641.472
38	2	1402914641.902	1402914645.381
39	3	1402914647.486	1402914667.876
40	4	1402914668.511	1402914693.27
41	1	1402914693.669	1402914724.164
42	2	1402914724.618	1402914755.209
43	1	1402914755.209	1402914763.471
44	4	1402914764.778	1402914778.828
45	3	1402914782.022	1402914795.589
46	4	1402914796.048	1402914801.868
47	1	1402914802.291	1402914853.314
48	2	1402914854.951	1402914859.338
49	3	1402914859.919	1402914866.413
50	4	1402914867.037	1402914899.465
51	3	1402914900.611	1402914907.37
52	3	1402914907.37	1402914923.372
53	2	1402914927.309	1402914944.12
54	1	1402914944.57	1402914991.108
55	2	1402914991.866	1402914998.904
56	3	1402914999.493	1402915037.927
57	2	1402915040.293	1402915044.126
58	2	1402915044.126	1402915047.153
59	1	1402915047.649	1402915078.667
60	1	1402915078.667	1402915142.785
61	2	1402915143.335	1402915149.763
62	3	1402915150.326	1402915173.489
63	4	1402915173.853	1402915236.535
64	3	1402915237.201	1402915242.117
65	2	1402915243.037	1402915339.441
66	3	1402915339.964	1402915356.717
67	4	1402915357.172	1402915470.481
68	1	1402915472.191	1402915474.683
69	1	1402915475.146	1402915487.192
70	4	1402915488.211	1402915527.425
71	3	1402915528.008	1402915536.871
72	3	1402915536.871	1402915539.923
73	2	1402915552.904	1402915564.833
74	1	1402915565.426	1402915584.599
75	4	1402915585.852	1402915613.006
76	1	1402915613.501	1402915620.033
77	2	1402915620.565	1402915638.988
78	3	1402915639.509	1402915668.12
79	2	1402915668.604	1402915687.225
80	1	1402915687.66	1402915715.958
81	4	1402915716.524	1402915732.724
82	3	1402915733.449	1402915786.297
83	3	1402915794.334	1402915809.929
84	2	1402915810.614	1402915867.652
85	1	1402915868.557	1402915947.549
86	4	1402915948.141	1402915951.49
87	3	1402915952.313	1402915966.85
88	2	1402915967.4	1402915971.329
89	4	1402915975.276	1402915991.7
90	1	1402915993.37	1402916001.939
91	1	1402916001.939	1402916005.357
92	2	1402916006.34	1402916043.134
93	3	1402916045.033	1402916066.716
94	4	1402916067.064	1402916081.001
95	1	1402916082.502	1402916084.739
96	1	1402916084.739	1402916086.815
97	4	1402916089.179	1402916095.152
98	1	1402916097.822	1402916100.074
99	1	1402916100.074	1402916131.088
100	2	1402916131.978	1402916142.663
101	1	1402916145.627	1402916182.499
